ID	count_1	relcount_1	count_2	relcount_2	count_3	relcount_3	count_4	relcount_4	count_5	relcount_5	count_6	relcount_6	count_7	relcount_7	count_8	relcount_8
"hsa-let-7a-1"	15663	21162.870195	13964	18897.211565	15646	15088.436988	16717	17263.350517	15892	20885.381416	7859	11021.621114	20609	21347.030899	18100	17560.403909
"hsa-let-7a-2"	15647	21141.251991	14264	19303.195772	15677	15118.332268	16848	17398.631902	16063	21110.110853	7826	10975.341244	20770	21513.796486	18414	17865.04296
"hsa-let-7a-3"	15586	21058.83259	14272	19314.022018	15916	15348.815231	16503	17042.356498	16204	21295.414074	7731	10842.111316	21015	21767.570205	17938	17403.233443
"hsa-let-7b"	80121	108254.505707	69200	93647.023797	113886	109827.542811	120628	124570.404151	58678	77115.052273	80270	112572.277236	92264	95568.075059	110942	107634.603892
"hsa-let-7c"	2438	3294.073775	3773	5105.928046	1803	1738.748044	2597	2681.876012	2680	3522.075396	2945	4130.127775	2769	2868.160928	1739	1687.157039
"hsa-let-7d"	4198	5672.076172	4573	6188.552599	5413	5220.101586	7278	7515.862001	7831	10291.556876	5538	7766.603605	9551	9893.031788	6226	6040.390869
"hsa-let-7e"	1165	1574.07545	992	1342.454445	828	798.493278	954	985.178943	1664	2186.840843	702	984.499048	1625	1683.193033	812	787.792706
"hsa-let-7f-1"	253	341.837845	198	267.949577	239	230.482963	249	257.1379	624	820.065316	100	140.24203	508	526.192037	414	401.657857
"hsa-let-7f-2"	261	352.646946	207	280.129103	268	258.449515	239	246.811077	631	829.264767	121	169.692856	508	526.192037	433	420.091431
"hsa-let-7g"	145	195.91497	220	297.721752	261	251.698968	125	129.085291	349	458.658326	74	103.779102	479	496.153515	312	302.698675
"hsa-let-7i"	327	441.822036	458	619.802556	506	487.968114	666	687.766432	528	693.901421	255	357.617176	496	513.762304	847	821.749288
"hsa-mir-100"	1493	2017.248624	1344	1818.809248	1971	1900.761172	1848	1908.396947	1557	2046.220669	967	1356.140427	1890	1957.682973	2493	2418.678837
"hsa-mir-101-1"	72	97.281916	93	125.855104	99	95.472022	143	147.673573	64	84.109263	105	147.254131	42	43.504066	99	96.048618
"hsa-mir-101-2"	72	97.281916	90	121.795262	108	104.151297	138	142.510162	60	78.852434	108	151.461392	46	47.64731	113	109.631251
"hsa-mir-103a-1"	6424	8679.708749	9068	12271.549303	12012	11583.938713	10401	10740.928918	5036	6618.347647	4217	5914.006392	5100	5282.636595	12264	11898.386383
"hsa-mir-103a-2"	6316	8533.785874	9226	12485.367653	12013	11584.903077	10255	10590.157298	5440	7149.287371	4548	6378.207511	5306	5496.013681	11952	11595.687708
"hsa-mir-103b-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-103b-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-105-1"	2	2.702275	7	9.472965	5	4.821819	0	0	4	5.256829	4	5.609681	5	5.179055	2	1.940376
"hsa-mir-105-2"	6	8.106826	5	6.766403	6	5.786183	2	2.065365	4	5.256829	3	4.207261	2	2.071622	2	1.940376
"hsa-mir-106a"	2	2.702275	6	8.119684	14	13.501094	12	12.392188	8	10.513658	10	14.024203	4	4.143244	4	3.880752
"hsa-mir-106b"	670	905.262276	657	889.105414	568	547.758674	1117	1153.506163	824	1082.906764	624	875.110265	623	645.310313	1129	1095.342321
"hsa-mir-107"	60	81.068264	40	54.131228	80	77.149109	90	92.94141	34	44.683046	48	67.316174	48	49.718933	118	114.482191
"hsa-mir-10a"	5381	7270.472101	4939	6683.853331	18781	18111.717696	10026	10353.673045	9501	12486.282962	3963	5557.791637	10061	10421.295448	16053	15574.428947
"hsa-mir-10b"	4446	6007.158328	9205	12456.948758	11458	11049.681133	10081	10410.470573	12932	16995.327993	4687	6573.143932	5686	5889.621898	17930	17395.471938
"hsa-mir-1-1"	0	0	0	0	0	0	1	1.032682	3	3.942622	0	0	1	1.035811	0	0
"hsa-mir-1178"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1179"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1180"	123	166.18994	94	127.208385	104	100.293842	205	211.699878	125	164.275905	136	190.72916	147	152.264231	181	175.604039
"hsa-mir-1181"	0	0	3	4.059842	2	1.928728	2	2.065365	2	2.628414	0	0	2	2.071622	1	0.970188
"hsa-mir-1182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1184-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1184-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1184-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1185-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
