miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12150	4384.056324	N
hsa-let-7a-2	12002	4330.653827	N
hsa-let-7a-3	12135	4378.643909	N
hsa-let-7b	20844	7521.092182	N
hsa-let-7c	494	178.248874	N
hsa-let-7d	1582	570.829391	N
hsa-let-7e	1355	488.921508	N
hsa-let-7f-1	5529	1995.016248	N
hsa-let-7f-2	5650	2038.676397	N
hsa-let-7g	1397	504.076270	N
hsa-let-7i	1128	407.013624	N
hsa-mir-100	1159	418.199282	N
hsa-mir-101-1	10634	3837.041559	N
hsa-mir-101-2	10792	3894.052333	N
hsa-mir-103a-1	41271	14891.719221	Y
hsa-mir-103a-2	41772	15072.493889	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.360828	N
hsa-mir-105-2	2	0.721655	N
hsa-mir-106a	46	16.598073	Y
hsa-mir-106b	2395	864.182296	N
hsa-mir-107	456	164.537423	Y
hsa-mir-10a	379508	136936.991549	N
hsa-mir-10b	148029	53412.960786	N
hsa-mir-1-1	5	1.804138	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	49	17.680556	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.360828	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	1.804138	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	3.247449	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	3.247449	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.082483	N
hsa-mir-1229	3	1.082483	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.721655	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.721655	N
hsa-mir-1247	140	50.515875	N
hsa-mir-1248	8	2.886621	N
hsa-mir-1249	3	1.082483	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.360828	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.360828	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.360828	N
hsa-mir-125a	791	285.414696	N
hsa-mir-125b-1	115	41.495183	N
hsa-mir-125b-2	128	46.185943	N
hsa-mir-126	2530	912.894033	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.721655	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	52	18.763039	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.360828	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1346	485.674059	N
hsa-mir-1270	2	0.721655	N
hsa-mir-1271	2	0.721655	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.721655	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	370	133.506242	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	266	95.980163	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.360828	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	57	20.567178	N
hsa-mir-1288	3	1.082483	N
hsa-mir-1289-1	1	0.360828	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	1	0.360828	N
hsa-mir-1291	2	0.721655	N
hsa-mir-129-1	2	0.721655	N
hsa-mir-1292	2	0.721655	N
hsa-mir-129-2	2	0.721655	N
hsa-mir-1293	1	0.360828	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	19	6.855726	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	15	5.412415	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	21	7.577381	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	15	5.412415	N
hsa-mir-1307	5540	1998.985353	N
hsa-mir-130a	43	15.515590	N
hsa-mir-130b	132	47.629254	N
hsa-mir-132	158	57.010774	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.360828	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	1.443311	Y
hsa-mir-133a-2	6	2.164966	Y
hsa-mir-133b	6	2.164966	Y
hsa-mir-134	776	280.002280	N
hsa-mir-1343	1	0.360828	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	24	8.659864	N
hsa-mir-136	56	20.206350	N
hsa-mir-137	4	1.443311	N
hsa-mir-138-1	3	1.082483	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	30	10.824830	N
hsa-mir-140	2528	912.172377	N
hsa-mir-141	4756	1716.096451	N
hsa-mir-142	6691	2414.298013	N
hsa-mir-143	128832	46486.151794	N
hsa-mir-144	401	144.691900	N
hsa-mir-145	2508	904.955824	N
hsa-mir-1468	15	5.412415	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	671	242.115374	N
hsa-mir-146b	1433	517.066067	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	15	5.412415	N
hsa-mir-148a	110798	39978.985396	N
hsa-mir-148b	233	84.072850	N
hsa-mir-149	20	7.216554	N
hsa-mir-150	1212	437.323149	N
hsa-mir-151a	5935	2141.512287	N
hsa-mir-151b	0	0.000000	N
hsa-mir-152	281	101.392578	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	22	7.938209	N
hsa-mir-1537	2	0.721655	N
hsa-mir-1538	2	0.721655	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	13	4.690760	N
hsa-mir-155	741	267.373312	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	392	141.444451	N
hsa-mir-15b	395	142.526934	N
hsa-mir-16-1	575	207.475917	N
hsa-mir-16-2	596	215.053298	N
hsa-mir-17	6665	2404.916494	Y
hsa-mir-181a-1	2575	929.131278	N
hsa-mir-181a-2	5275	1903.366017	N
hsa-mir-181b-1	506	182.578807	N
hsa-mir-181b-2	489	176.444736	N
hsa-mir-181c	481	173.558115	N
hsa-mir-181d	90	32.474491	N
hsa-mir-182	98587	35572.918584	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	50549	18239.478445	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	186	67.113949	N
hsa-mir-186	633	228.403922	N
hsa-mir-187	1	0.360828	N
hsa-mir-188	17	6.134071	N
hsa-mir-18a	263	94.897680	Y
hsa-mir-18b	14	5.051588	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	21	7.577381	N
hsa-mir-190b	2	0.721655	N
hsa-mir-191	1787	644.799066	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	182824	65967.959945	Y
hsa-mir-193a	597	215.414126	N
hsa-mir-193b	123	44.381805	N
hsa-mir-194-1	15954	5756.644822	N
hsa-mir-194-2	18343	6618.662152	N
hsa-mir-195	12	4.329932	N
hsa-mir-196a-1	418	150.825971	N
hsa-mir-196a-2	398	143.609417	N
hsa-mir-196b	2502	902.790858	N
hsa-mir-197	1416	510.931996	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	56	20.206350	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2343	845.419257	Y
hsa-mir-199a-2	4184	1509.703017	Y
hsa-mir-199b	5899	2128.522490	Y
hsa-mir-19a	152	54.845808	N
hsa-mir-19b-1	320	115.464858	N
hsa-mir-19b-2	295	106.444166	N
hsa-mir-200a	10461	3774.618371	N
hsa-mir-200b	7434	2682.392980	N
hsa-mir-200c	29717	10722.716195	N
hsa-mir-202	1	0.360828	N
hsa-mir-203a	54199	19556.499481	N
hsa-mir-203b	277	99.949268	N
hsa-mir-204	47	16.958901	N
hsa-mir-205	74	26.701248	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1547	558.200422	N
hsa-mir-20b	12	4.329932	N
hsa-mir-21	482114	173960.076582	N
hsa-mir-210	2106	759.903096	N
hsa-mir-211	1	0.360828	N
hsa-mir-2110	4	1.443311	N
hsa-mir-2113	1	0.360828	N
hsa-mir-2114	26	9.381520	N
hsa-mir-2115	6	2.164966	N
hsa-mir-2116	1	0.360828	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	11	3.969104	N
hsa-mir-214	43	15.515590	N
hsa-mir-215	670	241.754546	Y
hsa-mir-216a	5	1.804138	N
hsa-mir-216b	4	1.443311	N
hsa-mir-217	178	64.227327	N
hsa-mir-218-1	24	8.659864	N
hsa-mir-218-2	21	7.577381	N
hsa-mir-219a-1	11	3.969104	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.360828	N
hsa-mir-22	129126	46592.235133	N
hsa-mir-221	1054	380.312376	N
hsa-mir-222	302	108.969960	N
hsa-mir-223	10429	3763.071885	N
hsa-mir-224	60	21.649661	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	5	1.804138	N
hsa-mir-2278	1	0.360828	N
hsa-mir-2355	160	57.732429	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	12975	4681.739161	Y
hsa-mir-23b	1966	709.387221	Y
hsa-mir-23c	1	0.360828	N
hsa-mir-24-1	2227	803.563246	N
hsa-mir-24-2	2328	840.006841	N
hsa-mir-2467	1	0.360828	N
hsa-mir-25	29088	10495.755584	N
