miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41120	9762.879784	N
hsa-let-7a-2	41064	9749.584033	N
hsa-let-7a-3	40624	9645.117420	N
hsa-let-7b	39190	9304.651233	N
hsa-let-7c	2098	498.115802	N
hsa-let-7d	2582	613.029076	N
hsa-let-7e	4572	1085.503073	N
hsa-let-7f-1	25297	6006.117945	N
hsa-let-7f-2	25278	6001.606886	N
hsa-let-7g	3258	773.527781	N
hsa-let-7i	2106	500.015195	N
hsa-mir-100	10040	2383.738157	Y
hsa-mir-101-1	6736	1599.288867	N
hsa-mir-101-2	6747	1601.900533	N
hsa-mir-103a-1	48891	11607.902614	Y
hsa-mir-103a-2	48581	11534.301137	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.237424	N
hsa-mir-105-2	1	0.237424	N
hsa-mir-106a	76	18.044233	Y
hsa-mir-106b	2314	549.399412	N
hsa-mir-107	415	98.531009	Y
hsa-mir-10a	360572	85608.489527	N
hsa-mir-10b	149106	35401.360725	N
hsa-mir-1-1	32	7.597572	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.474848	N
hsa-mir-1180	48	11.396358	N
hsa-mir-1181	14	3.323938	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.237424	N
hsa-mir-1185-2	2	0.474848	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.712272	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	28	6.647875	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.237424	N
hsa-mir-1224	1	0.237424	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.474848	N
hsa-mir-1227	1	0.237424	N
hsa-mir-1228	3	0.712272	N
hsa-mir-1229	1	0.237424	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	3.086514	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.237424	N
hsa-mir-1247	732	173.794455	N
hsa-mir-1248	8	1.899393	N
hsa-mir-1249	6	1.424545	N
hsa-mir-1250	1	0.237424	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.474848	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.237424	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.237424	N
hsa-mir-125a	1100	261.166531	N
hsa-mir-125b-1	562	133.432355	N
hsa-mir-125b-2	517	122.748270	N
hsa-mir-126	11760	2792.107642	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.949696	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	96	22.792715	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.424545	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5238	1243.627537	N
hsa-mir-1270	1	0.237424	N
hsa-mir-1271	7	1.661969	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.237424	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.237424	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	392	93.070255	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	240	56.981789	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	1.187121	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	98	23.267564	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.712272	N
hsa-mir-129-1	1	0.237424	N
hsa-mir-1292	3	0.712272	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.237424	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	35	8.309844	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	16	3.798786	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	16	3.798786	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	36	8.547268	N
hsa-mir-1307	5968	1416.947144	N
hsa-mir-130a	124	29.440591	N
hsa-mir-130b	179	42.498917	N
hsa-mir-132	358	84.997835	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	35	8.309844	Y
hsa-mir-133a-2	14	3.323938	N
hsa-mir-133b	6	1.424545	Y
hsa-mir-134	2213	525.419576	N
hsa-mir-1343	4	0.949696	N
hsa-mir-135a-1	1	0.237424	N
hsa-mir-135a-2	0	0.000000	N
