miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12703	4423.367414	N
hsa-let-7a-2	12632	4398.644192	N
hsa-let-7a-3	12911	4495.796008	N
hsa-let-7b	12121	4220.706638	N
hsa-let-7c	563	196.044702	N
hsa-let-7d	825	287.276873	N
hsa-let-7e	1342	467.303713	N
hsa-let-7f-1	3035	1056.830678	N
hsa-let-7f-2	3109	1082.598543	N
hsa-let-7g	1285	447.455493	N
hsa-let-7i	679	236.437572	N
hsa-mir-100	2124	739.607367	N
hsa-mir-101-1	8018	2791.982990	N
hsa-mir-101-2	8013	2790.241918	N
hsa-mir-103a-1	30383	10579.797855	Y
hsa-mir-103a-2	30309	10554.029990	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	445	154.955404	N
hsa-mir-105-2	482	167.839337	N
hsa-mir-106a	276	96.107172	Y
hsa-mir-106b	3034	1056.482464	N
hsa-mir-107	181	63.026805	Y
hsa-mir-10a	276138	96155.225619	N
hsa-mir-10b	104483	36382.484259	N
hsa-mir-1-1	23	8.008931	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	52	18.107148	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.348214	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	29	10.098217	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.696429	N
hsa-mir-1224	3	1.044643	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.741072	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	2.437501	N
hsa-mir-1229	7	2.437501	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.348214	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	19.500006	N
hsa-mir-1248	4	1.392858	N
hsa-mir-1249	6	2.089286	N
