miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54295	7323.817968	N
hsa-let-7a-2	53687	7241.805235	N
hsa-let-7a-3	54077	7294.412087	N
hsa-let-7b	74746	10082.440332	N
hsa-let-7c	8857	1194.715089	N
hsa-let-7d	2584	348.554114	N
hsa-let-7e	5516	744.049727	N
hsa-let-7f-1	32799	4424.236219	N
hsa-let-7f-2	33122	4467.805484	N
hsa-let-7g	5080	685.237964	N
hsa-let-7i	2990	403.319196	N
hsa-mir-100	36498	4923.191973	Y
hsa-mir-101-1	26727	3605.188007	N
hsa-mir-101-2	26651	3594.936415	N
hsa-mir-103a-1	54953	7412.575169	Y
hsa-mir-103a-2	55982	7551.376323	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	68	9.172477	Y
hsa-mir-106b	3100	418.157026	N
hsa-mir-107	580	78.235831	Y
hsa-mir-10a	176446	23800.688556	N
hsa-mir-10b	129184	17425.547479	N
hsa-mir-1-1	768	103.595031	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	90	12.140043	N
hsa-mir-1181	1	0.134889	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.134889	N
hsa-mir-1199	3	0.404668	N
hsa-mir-1-2	795	107.237044	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	15	2.023340	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.269779	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.079115	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	127	17.130949	N
hsa-mir-1248	11	1.483783	N
hsa-mir-1249	21	2.832677	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.269779	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.134889	N
hsa-mir-1255a	4	0.539557	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.269779	N
hsa-mir-125a	1356	182.909976	N
hsa-mir-125b-1	1268	171.039712	N
hsa-mir-125b-2	1325	178.728406	N
hsa-mir-126	11645	1570.786633	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.214004	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
