miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	60478	8811.925751	N
hsa-let-7a-2	60547	8821.979371	N
hsa-let-7a-3	60789	8857.239896	N
hsa-let-7b	72436	10554.261941	N
hsa-let-7c	4986	726.483379	N
hsa-let-7d	4324	630.026901	N
hsa-let-7e	4616	672.572659	N
hsa-let-7f-1	47192	6876.093787	N
hsa-let-7f-2	47716	6952.443023	N
hsa-let-7g	6914	1007.401942	N
hsa-let-7i	5111	744.696460	N
hsa-mir-100	61866	9014.163803	Y
hsa-mir-101-1	32214	4693.729557	N
hsa-mir-101-2	32697	4764.104902	N
hsa-mir-103a-1	106008	15445.858411	Y
hsa-mir-103a-2	106973	15586.463397	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	286	41.671530	Y
hsa-mir-106b	5294	771.360411	N
hsa-mir-107	1274	185.627723	Y
hsa-mir-10a	376933	54920.890389	N
hsa-mir-10b	181996	26517.663265	N
hsa-mir-1-1	9	1.311342	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.582819	N
hsa-mir-1180	151	22.001402	N
hsa-mir-1181	1	0.145705	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.145705	N
hsa-mir-1185-2	1	0.145705	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.145705	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	10	1.457046	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
