miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	138586	7713.048719	N
hsa-let-7a-2	276977	15415.244650	Y
hsa-let-7a-3	138986	7735.310849	N
hsa-let-7b	72709	4046.642946	N
hsa-let-7c	17800	990.664766	Y
hsa-let-7d	6168	343.282038	N
hsa-let-7e	15984	889.594697	N
hsa-let-7f-1	184769	10283.378543	N
hsa-let-7f-2	186958	10405.208047	N
hsa-let-7g	10307	573.639424	N
hsa-let-7i	3564	198.355574	N
hsa-mir-100	52924	2945.502362	Y
hsa-mir-101-1	53596	2982.902740	N
hsa-mir-101-2	54308	3022.529331	N
hsa-mir-103a-1	215623	12000.567907	Y
hsa-mir-103a-2	215521	11994.891064	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.333932	N
hsa-mir-105-2	5	0.278277	N
hsa-mir-106a	111	6.177741	Y
hsa-mir-106b	8385	466.669891	N
hsa-mir-107	1533	85.319612	Y
hsa-mir-10a	1531028	85209.859252	N
hsa-mir-10b	507530	28246.746543	N
hsa-mir-1-1	1229	68.400393	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	284	15.806112	N
hsa-mir-1181	4	0.222621	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.055655	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.055655	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1337	74.411168	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.166966	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	1.335728	N
hsa-mir-1227	2	0.111311	N
hsa-mir-1228	10	0.556553	N
hsa-mir-1229	10	0.556553	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.055655	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.055655	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.111311	N
hsa-mir-124-2	2	0.111311	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	1	0.055655	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	0.612209	N
hsa-mir-1245b	4	0.222621	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11340	631.131373	N
hsa-mir-1248	22	1.224417	N
hsa-mir-1249	9	0.500898	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.111311	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.222621	N
hsa-mir-1254-2	3	0.166966	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	5	0.278277	N
hsa-mir-1258	7	0.389587	N
hsa-mir-125a	2784	154.944422	N
hsa-mir-125b-1	1603	89.215484	N
hsa-mir-125b-2	1725	96.005434	N
hsa-mir-126	11762	654.617920	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.055655	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.166966	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	80	4.452426	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1395	77.639177	N
hsa-mir-1269b	3	0.166966	N
hsa-mir-127	7206	401.052264	N
hsa-mir-1270	22	1.224417	N
hsa-mir-1271	4	0.222621	N
hsa-mir-1272	1	0.055655	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.333932	N
hsa-mir-1276	3	0.166966	N
hsa-mir-1277	5	0.278277	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1046	58.215469	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	741	41.240595	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.111311	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	376	20.926402	N
