miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10575	8243.261572	N
hsa-let-7a-2	10747	8377.336370	N
hsa-let-7a-3	10948	8534.016803	N
hsa-let-7b	27627	21535.374700	N
hsa-let-7c	677	527.724642	N
hsa-let-7d	1066	830.951947	N
hsa-let-7e	666	519.150091	N
hsa-let-7f-1	4239	3304.320171	N
hsa-let-7f-2	4199	3273.139985	N
hsa-let-7g	863	672.712505	N
hsa-let-7i	756	589.305508	N
hsa-mir-100	1656	1290.859684	N
hsa-mir-101-1	3303	2574.703827	N
hsa-mir-101-2	3365	2623.033115	N
hsa-mir-103a-1	20161	15715.593055	Y
hsa-mir-103a-2	20193	15740.537203	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.779505	N
hsa-mir-106a	136	106.012631	Y
hsa-mir-106b	563	438.861113	N
hsa-mir-107	219	170.711516	Y
hsa-mir-10a	111755	87113.541087	N
hsa-mir-10b	59805	46618.275019	N
hsa-mir-1-1	7	5.456532	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	8	6.236037	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	6.236037	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.779505	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.779505	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	3.118019	N
