miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26351	6336.624806	N
hsa-let-7a-2	26066	6268.090858	N
hsa-let-7a-3	26590	6394.097135	N
hsa-let-7b	29578	7112.621476	N
hsa-let-7c	672	161.595836	N
hsa-let-7d	2303	553.802396	N
hsa-let-7e	3243	779.844190	N
hsa-let-7f-1	25035	6020.166295	N
hsa-let-7f-2	25020	6016.559245	N
hsa-let-7g	4067	977.991465	N
hsa-let-7i	1971	473.966358	N
hsa-mir-100	3585	862.084928	N
hsa-mir-101-1	7604	1828.533833	N
hsa-mir-101-2	7683	1847.530962	N
hsa-mir-103a-1	44781	10768.486792	Y
hsa-mir-103a-2	45106	10846.639540	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	148	35.589559	Y
hsa-mir-106b	2866	689.187002	N
hsa-mir-107	518	124.563457	Y
hsa-mir-10a	611684	147091.647684	N
hsa-mir-10b	140350	33749.963629	N
hsa-mir-1-1	14	3.366580	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	64	15.390080	N
hsa-mir-1181	4	0.961880	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	14	3.366580	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	1.683290	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.480940	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.683290	N
hsa-mir-1229	11	2.645170	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.240470	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.240470	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.961880	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.240470	N
hsa-mir-1247	119	28.615929	N
hsa-mir-1248	21	5.049870	N
hsa-mir-1249	5	1.202350	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.721410	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.240470	N
hsa-mir-1258	1	0.240470	N
hsa-mir-125a	1335	321.027442	N
hsa-mir-125b-1	242	58.193738	N
hsa-mir-125b-2	221	53.143869	N
hsa-mir-126	7622	1832.862293	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.721410	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	206	49.536819	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.721410	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1904	457.854868	N
hsa-mir-1270	2	0.480940	N
hsa-mir-1271	2	0.480940	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.240470	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	1.923760	N
hsa-mir-1278	1	0.240470	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	323	77.671808	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	258	62.041258	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.480940	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	163	39.196609	N
hsa-mir-1288	6	1.442820	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.923760	N
hsa-mir-129-1	1	0.240470	N
hsa-mir-1292	2	0.480940	N
hsa-mir-129-2	2	0.480940	N
hsa-mir-1293	5	1.202350	N
hsa-mir-1294	2	0.480940	N
hsa-mir-1295a	1	0.240470	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	15	3.607050	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	43	10.340210	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	19	4.568930	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	44	10.580680	N
hsa-mir-1307	7269	1747.976385	N
hsa-mir-130a	117	28.134989	N
