miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	7001	2527.884907	N
hsa-let-7a-2	7052	2546.299723	N
hsa-let-7a-3	7078	2555.687669	N
hsa-let-7b	15214	5493.392511	N
hsa-let-7c	621	224.227471	N
hsa-let-7d	2185	788.948510	N
hsa-let-7e	1289	465.425460	N
hsa-let-7f-1	2382	860.080252	N
hsa-let-7f-2	2346	847.081559	N
hsa-let-7g	2634	951.071110	N
hsa-let-7i	1316	475.174480	N
hsa-mir-100	2842	1026.174676	N
hsa-mir-101-1	5368	1938.249704	N
hsa-mir-101-2	5443	1965.330317	N
hsa-mir-103a-1	22496	8122.739446	Y
hsa-mir-103a-2	22972	8294.611066	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.361075	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	604	218.089199	Y
hsa-mir-106b	2446	883.189042	N
hsa-mir-107	354	127.820491	Y
hsa-mir-10a	177399	64054.314321	N
hsa-mir-10b	65856	23778.944210	N
hsa-mir-1-1	31	11.193320	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.361075	N
hsa-mir-1180	9	3.249673	N
hsa-mir-1181	1	0.361075	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.722150	N
hsa-mir-1185-2	1	0.361075	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	40	14.442993	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.722150	N
hsa-mir-1224	1	0.361075	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.722150	N
hsa-mir-1229	2	0.722150	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	2.166449	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1792	647.046101	N
hsa-mir-1248	8	2.888599	N
hsa-mir-1249	6	2.166449	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.361075	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	5	1.805374	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.361075	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	833	300.775336	N
hsa-mir-125b-1	294	106.156001	N
hsa-mir-125b-2	295	106.517076	N
hsa-mir-126	15775	5695.955492	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.805374	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	10.471170	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	56	20.220191	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2967	1071.309030	N
hsa-mir-1270	3	1.083224	N
hsa-mir-1271	27	9.749020	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	1.444299	N
hsa-mir-1276	1	0.361075	N
hsa-mir-1277	12	4.332898	N
hsa-mir-1278	1	0.361075	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	155	55.966599	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	97	35.024259	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	33	11.915469	N
hsa-mir-1288	2	0.722150	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.722150	N
hsa-mir-129-1	1	0.361075	N
hsa-mir-1292	8	2.888599	N
hsa-mir-129-2	3	1.083224	N
hsa-mir-1293	1	0.361075	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	31	11.193320	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	26	9.387946	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.361075	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.361075	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	12	4.332898	N
hsa-mir-1307	3769	1360.891046	N
hsa-mir-130a	294	106.156001	N
hsa-mir-130b	216	77.992164	N
hsa-mir-132	166	59.938422	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.722150	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	62	22.386640	Y
hsa-mir-133a-2	52	18.775891	Y
hsa-mir-133b	8	2.888599	Y
hsa-mir-134	2175	785.337762	N
hsa-mir-1343	1	0.361075	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	2	0.722150	N
hsa-mir-135b	231	83.408286	N
hsa-mir-136	270	97.490205	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.361075	N
hsa-mir-138-2	2	0.722150	N
hsa-mir-139	45	16.248367	N
hsa-mir-140	998	360.352683	N
hsa-mir-141	6796	2453.864566	N
hsa-mir-142	11126	4017.318593	N
hsa-mir-143	198322	71609.083054	N
hsa-mir-144	271	97.851280	N
hsa-mir-145	10970	3960.990919	N
hsa-mir-1468	10	3.610748	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	608	219.533499	N
hsa-mir-146b	1837	663.294468	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	37	13.359769	N
hsa-mir-148a	240783	86940.681543	N
hsa-mir-148b	494	178.370968	N
hsa-mir-149	32	11.554395	N
hsa-mir-150	999	360.713758	N
hsa-mir-151a	3029	1093.695670	N
hsa-mir-151b	5	1.805374	N
hsa-mir-152	609	219.894573	N
hsa-mir-153-1	7	2.527524	N
hsa-mir-153-2	151	54.522300	N
hsa-mir-1537	2	0.722150	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	39	14.081918	N
hsa-mir-155	1088	392.849418	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	338	122.043294	N
hsa-mir-15b	995	359.269459	N
hsa-mir-16-1	1569	566.526413	N
hsa-mir-16-2	1656	597.939924	N
hsa-mir-17	15999	5776.836255	Y
hsa-mir-181a-1	721	260.334955	N
hsa-mir-181a-2	1408	508.393365	N
hsa-mir-181b-1	153	55.244449	N
hsa-mir-181b-2	98	35.385334	N
hsa-mir-181c	214	77.270014	N
hsa-mir-181d	25	9.026871	N
hsa-mir-182	20241	7308.515697	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8682	3134.851701	N
hsa-mir-184	1	0.361075	N
hsa-mir-185	68	24.553089	N
hsa-mir-186	1285	463.981161	N
hsa-mir-187	1	0.361075	N
hsa-mir-188	26	9.387946	N
hsa-mir-18a	283	102.184178	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	21	7.582571	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2943	1062.643234	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.361075	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	700590	252965.417336	Y
hsa-mir-193a	150	54.161225	N
hsa-mir-193b	137	49.467252	N
hsa-mir-194-1	15712	5673.207778	N
hsa-mir-194-2	18959	6845.617761	N
hsa-mir-195	110	39.718232	N
hsa-mir-196a-1	492	177.648818	N
hsa-mir-196a-2	587	211.950927	N
hsa-mir-196b	17005	6140.077537	N
hsa-mir-197	1141	411.986385	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	10	3.610748	N
hsa-mir-198	1	0.361075	N
hsa-mir-199a-1	15744	5684.762173	Y
hsa-mir-199a-2	30868	11145.657949	Y
hsa-mir-199b	45387	16388.103451	Y
hsa-mir-19a	574	207.256954	N
hsa-mir-19b-1	1119	404.042738	N
hsa-mir-19b-2	1014	366.129881	N
hsa-mir-200a	3761	1358.002447	N
hsa-mir-200b	4322	1560.565429	N
hsa-mir-200c	24637	8895.800664	N
hsa-mir-202	2	0.722150	N
hsa-mir-203a	55531	20050.846558	N
hsa-mir-203b	694	250.585934	N
hsa-mir-204	2	0.722150	N
hsa-mir-205	24	8.665796	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2763	997.649764	N
hsa-mir-20b	13	4.693973	N
hsa-mir-21	414246	149573.805321	N
hsa-mir-210	2635	951.432185	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	5	1.805374	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	15	5.416122	N
hsa-mir-214	120	43.328980	N
hsa-mir-215	3717	1342.115155	Y
hsa-mir-216a	3	1.083224	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	64	23.108789	N
hsa-mir-218-1	15	5.416122	N
hsa-mir-218-2	23	8.304721	N
hsa-mir-219a-1	6	2.166449	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	98683	35631.947757	N
hsa-mir-221	492	177.648818	N
hsa-mir-222	286	103.267402	N
hsa-mir-223	840	303.302860	N
hsa-mir-224	310	111.933198	N
hsa-mir-2276	2	0.722150	N
hsa-mir-2277	2	0.722150	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	100	36.107483	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	18603	6717.075121	Y
hsa-mir-23b	6255	2258.523081	Y
hsa-mir-23c	10	3.610748	N
hsa-mir-24-1	3338	1205.267793	N
hsa-mir-24-2	3478	1255.818270	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	25012	9031.203726	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	2666	962.625505	N
hsa-mir-26a-2	2649	956.487233	N
hsa-mir-26b	3238	1169.160310	N
hsa-mir-27a	9493	3427.683391	Y
hsa-mir-27b	6666	2406.924838	Y
hsa-mir-28	8942	3228.731158	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	49	17.692667	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	17	6.138272	N
hsa-mir-29a	29848	10777.361619	N
hsa-mir-29b-1	5234	1889.865677	Y
hsa-mir-29b-2	2809	1014.259206	N
hsa-mir-29c	3419	1234.514854	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	83	29.969211	N
hsa-mir-301b	4	1.444299	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	6	2.166449	N
hsa-mir-3074	23	8.304721	N
hsa-mir-30a	18465	6667.246794	Y
hsa-mir-30b	3950	1426.245591	Y
hsa-mir-30c-1	1812	654.267598	Y
hsa-mir-30c-2	1800	649.934700	Y
hsa-mir-30d	8664	3128.352354	N
hsa-mir-30e	35912	12966.919407	Y
hsa-mir-31	7	2.527524	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	2	0.722150	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	1	0.361075	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	5	1.805374	N
hsa-mir-3130-1	4	1.444299	N
hsa-mir-3130-2	4	1.444299	N
hsa-mir-3131	13	4.693973	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.722150	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	2	0.722150	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.361075	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	15	5.416122	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.361075	N
hsa-mir-3158-1	1	0.361075	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	16	5.777197	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	0	0.000000	N
hsa-mir-3174	0	0.000000	N
