miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10529	3955.033794	N
hsa-let-7a-2	10571	3970.810356	N
hsa-let-7a-3	10808	4059.835240	N
hsa-let-7b	44749	16809.175348	N
hsa-let-7c	1956	734.737022	N
hsa-let-7d	5117	1922.111114	N
hsa-let-7e	2598	975.893038	N
hsa-let-7f-1	2065	775.680956	N
hsa-let-7f-2	2066	776.056588	N
hsa-let-7g	856	321.541355	N
hsa-let-7i	1088	408.688077	N
hsa-mir-100	26276	9870.117577	Y
hsa-mir-101-1	1538	577.722668	N
hsa-mir-101-2	1558	585.235317	N
hsa-mir-103a-1	108478	40747.854106	Y
hsa-mir-103a-2	108608	40796.686321	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.375632	N
hsa-mir-105-2	3	1.126897	N
hsa-mir-106a	158	59.349923	Y
hsa-mir-106b	3078	1156.196602	N
hsa-mir-107	823	309.145485	Y
hsa-mir-10a	161613	60707.082963	N
hsa-mir-10b	190079	71399.835548	N
hsa-mir-1-1	29	10.893340	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	121	45.451523	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.375632	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.375632	N
hsa-mir-1197	1	0.375632	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	26	9.766443	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.751265	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	3.380692	N
hsa-mir-1227	1	0.375632	N
hsa-mir-1228	1	0.375632	N
hsa-mir-1229	8	3.005059	N
hsa-mir-1231	1	0.375632	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.375632	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.751265	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.375632	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.375632	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2217	832.777084	N
hsa-mir-1248	9	3.380692	N
hsa-mir-1249	13	4.883222	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.751265	N
hsa-mir-1254-2	6	2.253795	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.751265	N
hsa-mir-125a	3859	1449.565525	N
hsa-mir-125b-1	2322	872.218489	N
hsa-mir-125b-2	2363	887.619418	N
hsa-mir-126	2883	1082.948279	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.878162	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	13.898400	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	736	276.465464	N
hsa-mir-1269b	219	82.263501	N
hsa-mir-127	2822	1060.034701	N
hsa-mir-1270	5	1.878162	N
hsa-mir-1271	26	9.766443	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	15	5.634486	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	314	117.948581	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	174	65.360042	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.375632	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	46	17.279092	N
hsa-mir-1288	2	0.751265	N
hsa-mir-1289-1	1	0.375632	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.878162	N
hsa-mir-129-1	6	2.253795	N
hsa-mir-1292	14	5.258854	N
hsa-mir-129-2	11	4.131957	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.751265	N
hsa-mir-1295b	1	0.375632	N
hsa-mir-1296	72	27.045535	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	46	17.279092	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	2.629427	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	94	35.309448	N
hsa-mir-1307	17656	6632.166081	N
hsa-mir-130a	178	66.862571	N
hsa-mir-130b	140	52.588539	N
hsa-mir-132	661	248.293032	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	570	214.110482	Y
hsa-mir-133a-2	550	206.597833	Y
hsa-mir-133b	54	20.284151	Y
hsa-mir-134	843	316.658134	N
hsa-mir-1343	4	1.502530	N
hsa-mir-135a-1	1	0.375632	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	67	25.167372	N
hsa-mir-136	16	6.010119	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.375632	N
hsa-mir-138-2	2	0.751265	N
hsa-mir-139	483	181.430461	N
hsa-mir-140	5433	2040.810960	N
hsa-mir-141	1229	461.652249	N
hsa-mir-142	584	219.369336	N
hsa-mir-143	154763	58134.000857	N
hsa-mir-144	39	14.649665	N
hsa-mir-145	70075	26322.442122	N
hsa-mir-1468	107	40.192669	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	370	138.983997	N
hsa-mir-146b	1503	564.575533	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.751265	N
hsa-mir-148a	65090	24449.914487	N
hsa-mir-148b	153	57.471761	N
hsa-mir-149	136	51.086010	N
hsa-mir-150	2082	782.066707	N
hsa-mir-151a	11931	4481.670452	N
hsa-mir-151b	7	2.629427	N
hsa-mir-152	183	68.740734	N
hsa-mir-153-1	1	0.375632	N
hsa-mir-153-2	11	4.131957	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	0	0.000000	N
hsa-mir-155	669	251.298092	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	288	108.182138	N
hsa-mir-15b	710	266.699021	N
hsa-mir-16-1	347	130.344451	N
hsa-mir-16-2	382	143.491586	N
hsa-mir-17	12894	4843.404477	Y
hsa-mir-181a-1	2985	1121.262786	N
hsa-mir-181a-2	4105	1541.971101	N
hsa-mir-181b-1	385	144.618483	N
hsa-mir-181b-2	385	144.618483	N
hsa-mir-181c	248	93.156841	N
hsa-mir-181d	70	26.294270	N
hsa-mir-182	37171	13962.632838	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	21345	8017.874093	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	140	52.588539	N
hsa-mir-186	1028	386.150132	N
hsa-mir-187	15	5.634486	N
hsa-mir-188	19	7.137016	N
hsa-mir-18a	148	55.593599	N
hsa-mir-18b	2	0.751265	N
hsa-mir-1908	1	0.375632	N
hsa-mir-1909	1	0.375632	N
hsa-mir-190a	3	1.126897	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	5650	2122.323196	N
hsa-mir-1910	1	0.375632	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.751265	N
hsa-mir-1914	1	0.375632	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	102979	38682.251406	Y
hsa-mir-193a	1630	612.280851	N
hsa-mir-193b	542	203.592774	N
hsa-mir-194-1	10728	4029.784646	N
hsa-mir-194-2	14215	5339.614909	N
hsa-mir-195	52	19.532886	N
hsa-mir-196a-1	311	116.821684	N
hsa-mir-196a-2	306	114.943522	N
hsa-mir-196b	17356	6519.476353	N
hsa-mir-197	3709	1393.220661	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	80	30.050594	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3539	1329.363149	Y
hsa-mir-199a-2	5474	2056.211890	Y
hsa-mir-199b	6249	2347.327018	Y
hsa-mir-19a	42	15.776562	N
hsa-mir-19b-1	205	77.004647	N
hsa-mir-19b-2	192	72.121425	N
hsa-mir-200a	5925	2225.622113	N
hsa-mir-200b	10223	3840.090272	N
hsa-mir-200c	68038	25557.278874	N
hsa-mir-202	2	0.751265	N
hsa-mir-203a	23610	8868.681534	N
hsa-mir-203b	123	46.202788	N
hsa-mir-204	12	4.507589	N
hsa-mir-205	11	4.131957	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
