miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	7859	3511.149990	N
hsa-let-7a-2	7880	3520.532119	N
hsa-let-7a-3	7875	3518.298278	N
hsa-let-7b	10395	4644.153728	N
hsa-let-7c	276	123.307978	N
hsa-let-7d	1421	634.857378	N
hsa-let-7e	1107	494.572215	N
hsa-let-7f-1	3177	1419.382048	N
hsa-let-7f-2	3386	1512.756568	N
hsa-let-7g	1609	718.849769	N
hsa-let-7i	461	205.960064	N
hsa-mir-100	1194	533.441034	N
hsa-mir-101-1	6832	3052.319218	N
hsa-mir-101-2	6914	3088.954196	N
hsa-mir-103a-1	23354	10433.820698	Y
hsa-mir-103a-2	23773	10621.016505	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.446768	N
hsa-mir-106a	404	180.494286	Y
hsa-mir-106b	1167	521.378297	N
hsa-mir-107	243	108.564633	Y
hsa-mir-10a	123693	55262.078597	N
hsa-mir-10b	58030	25925.949092	N
hsa-mir-1-1	59	26.359314	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	15	6.701521	N
hsa-mir-1181	1	0.446768	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.446768	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	62	27.699618	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	2.680608	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.893536	N
hsa-mir-1227	1	0.446768	N
hsa-mir-1228	3	1.340304	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	403	180.047518	N
hsa-mir-1248	6	2.680608	N
hsa-mir-1249	1	0.446768	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.446768	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	598	267.167285	N
hsa-mir-125b-1	62	27.699618	N
hsa-mir-125b-2	71	31.720531	N
hsa-mir-126	6382	2851.273602	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	2.233840	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	8.041825	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	228	101.863112	N
hsa-mir-1269b	59	26.359314	N
hsa-mir-127	1103	492.785143	N
hsa-mir-1270	2	0.893536	N
hsa-mir-1271	2	0.893536	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.446768	N
hsa-mir-1276	2	0.893536	N
hsa-mir-1277	3	1.340304	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	146	65.228133	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	91	40.655891	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	20	8.935361	N
hsa-mir-1288	3	1.340304	N
hsa-mir-1289-1	0	0.000000	N
