miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28475	7108.849150	N
hsa-let-7a-2	28426	7096.616188	N
hsa-let-7a-3	28585	7136.310903	N
hsa-let-7b	30853	7702.522312	N
hsa-let-7c	1027	256.392909	N
hsa-let-7d	2464	615.143259	N
hsa-let-7e	2176	543.243398	N
hsa-let-7f-1	17181	4289.276111	N
hsa-let-7f-2	17550	4381.397808	N
hsa-let-7g	3445	860.052162	N
hsa-let-7i	1699	424.159252	N
hsa-mir-100	7944	1983.237845	Y
hsa-mir-101-1	12324	3076.714905	N
hsa-mir-101-2	12396	3094.689871	N
hsa-mir-103a-1	46118	11513.464622	Y
hsa-mir-103a-2	47573	11876.708714	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	99	24.715577	N
hsa-mir-105-2	81	20.221836	N
hsa-mir-106a	159	39.694715	Y
hsa-mir-106b	2138	533.756610	N
hsa-mir-107	395	98.612657	Y
hsa-mir-10a	43598	10884.340834	N
hsa-mir-10b	116976	29203.327066	N
hsa-mir-1-1	15	3.744784	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.249652	N
hsa-mir-1180	26	6.490960	N
hsa-mir-1181	5	1.248261	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.499305	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	17	4.244089	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.249652	N
hsa-mir-1228	2	0.499305	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.499305	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	2.246871	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.499305	N
hsa-mir-1247	2314	577.695415	N
hsa-mir-1248	4	0.998609	N
hsa-mir-1249	4	0.998609	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.499305	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.249652	N
hsa-mir-125a	827	206.462449	N
hsa-mir-125b-1	229	57.170376	N
hsa-mir-125b-2	211	52.676635	N
