miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	46591	7933.025520	N
hsa-let-7a-2	46439	7907.144559	N
hsa-let-7a-3	46752	7960.438907	N
hsa-let-7b	54762	9324.297472	N
hsa-let-7c	2731	465.005960	N
hsa-let-7d	3040	517.619231	N
hsa-let-7e	3353	570.913579	N
hsa-let-7f-1	31842	5421.720903	N
hsa-let-7f-2	31939	5438.237043	N
hsa-let-7g	3673	625.399814	N
hsa-let-7i	2423	412.562959	N
hsa-mir-100	6074	1034.216845	N
hsa-mir-101-1	9925	1689.924627	N
hsa-mir-101-2	10041	1709.675887	N
hsa-mir-103a-1	62275	10603.532104	Y
hsa-mir-103a-2	62240	10597.572672	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.340539	N
hsa-mir-106a	60	10.216169	Y
hsa-mir-106b	3024	514.894919	N
hsa-mir-107	684	116.464327	Y
hsa-mir-10a	260897	44422.797517	N
hsa-mir-10b	244874	41694.569578	N
hsa-mir-1-1	252	42.907910	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.170269	N
hsa-mir-1180	75	12.770211	N
hsa-mir-1181	3	0.510808	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.170269	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	271	46.143030	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.340539	N
hsa-mir-1224	2	0.340539	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.681078	N
hsa-mir-1227	1	0.170269	N
hsa-mir-1228	3	0.510808	N
hsa-mir-1229	4	0.681078	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.170269	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.872964	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1889	321.639055	N
hsa-mir-1248	6	1.021617	N
hsa-mir-1249	2	0.340539	N
hsa-mir-1250	1	0.170269	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.340539	N
hsa-mir-1254-2	4	0.681078	N
hsa-mir-1255a	3	0.510808	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.340539	N
hsa-mir-1258	2	0.340539	N
hsa-mir-125a	696	118.507561	N
hsa-mir-125b-1	352	59.934858	N
