miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11352	3024.667345	N
hsa-let-7a-2	11029	2938.606074	N
hsa-let-7a-3	11320	3016.141151	N
hsa-let-7b	29942	7977.853211	N
hsa-let-7c	1655	440.964099	N
hsa-let-7d	1733	461.746697	N
hsa-let-7e	1319	351.439062	N
hsa-let-7f-1	4104	1093.484389	N
hsa-let-7f-2	4097	1091.619284	N
hsa-let-7g	2369	631.204805	N
hsa-let-7i	1556	414.586186	N
hsa-mir-100	10598	2823.768898	Y
hsa-mir-101-1	12254	3264.999440	N
hsa-mir-101-2	12504	3331.610332	N
hsa-mir-103a-1	22161	5904.655835	Y
hsa-mir-103a-2	22810	6077.577708	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	244	65.012230	Y
hsa-mir-106b	1740	463.611802	N
hsa-mir-107	323	86.061271	Y
hsa-mir-10a	159007	42366.391875	N
hsa-mir-10b	201991	53819.202055	N
hsa-mir-1-1	336	89.525038	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	16	4.263097	N
hsa-mir-1181	3	0.799331	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.266444	N
hsa-mir-1185-2	1	0.266444	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	366	97.518345	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.266444	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.799331	N
hsa-mir-1227	3	0.799331	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.266444	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.266444	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.266444	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	3.996653	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.266444	N
hsa-mir-1247	2240	596.833585	N
hsa-mir-1248	5	1.332218	N
hsa-mir-1249	6	1.598661	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.799331	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.799331	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.799331	N
hsa-mir-125a	770	205.161545	N
hsa-mir-125b-1	407	108.442531	N
hsa-mir-125b-2	401	106.843869	N
hsa-mir-126	16087	4286.277624	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.799331	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.266444	N
