miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81714	5476.842689	N
hsa-let-7a-2	81797	5482.405725	N
hsa-let-7a-3	82284	5515.046673	N
hsa-let-7b	134929	9043.553212	N
hsa-let-7c	10814	724.803300	N
hsa-let-7d	3767	252.481416	N
hsa-let-7e	11234	752.953604	N
hsa-let-7f-1	53817	3607.059292	N
hsa-let-7f-2	54178	3631.255148	N
hsa-let-7g	4299	288.138467	N
hsa-let-7i	5639	377.951342	N
hsa-mir-100	70321	4713.232184	Y
hsa-mir-101-1	28209	1890.695051	N
hsa-mir-101-2	28137	1885.869285	N
hsa-mir-103a-1	87489	5863.909367	Y
hsa-mir-103a-2	87488	5863.842342	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.067025	N
hsa-mir-105-2	2	0.134049	N
hsa-mir-106a	98	6.568404	Y
hsa-mir-106b	4985	334.117297	N
hsa-mir-107	1216	81.501832	Y
hsa-mir-10a	516955	34648.667452	N
hsa-mir-10b	303274	20326.798218	N
hsa-mir-1-1	844	56.568706	N
hsa-mir-1178	1	0.067025	N
hsa-mir-1179	1	0.067025	N
hsa-mir-1180	82	5.496012	N
hsa-mir-1181	6	0.402147	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.268098	N
hsa-mir-1185-2	1	0.067025	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.067025	N
hsa-mir-1-2	832	55.764411	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.201074	N
hsa-mir-1224	8	0.536196	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.335123	N
hsa-mir-1227	2	0.134049	N
hsa-mir-1228	8	0.536196	N
hsa-mir-1229	1	0.067025	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.067025	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.067025	N
hsa-mir-124-3	1	0.067025	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	22	1.474540	N
hsa-mir-1245b	1	0.067025	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	801	53.686651	N
hsa-mir-1248	45	3.016104	N
hsa-mir-1249	8	0.536196	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.134049	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.067025	N
hsa-mir-1255a	2	0.134049	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
