miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33243	6018.169103	N
hsa-let-7a-2	33726	6105.609336	N
hsa-let-7a-3	33685	6098.186873	N
hsa-let-7b	50990	9231.009312	N
hsa-let-7c	5923	1072.274331	N
hsa-let-7d	2511	454.580592	N
hsa-let-7e	3184	576.417604	N
hsa-let-7f-1	17764	3215.917816	N
hsa-let-7f-2	17956	3250.676666	N
hsa-let-7g	1900	343.967792	N
hsa-let-7i	1383	250.372345	N
hsa-mir-100	13426	2430.585037	N
hsa-mir-101-1	22749	4118.380679	N
hsa-mir-101-2	22689	4107.518539	N
hsa-mir-103a-1	75774	13717.797600	Y
hsa-mir-103a-2	75488	13666.021395	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	172	31.138137	N
hsa-mir-105-2	173	31.319173	N
hsa-mir-106a	112	20.275996	Y
hsa-mir-106b	4001	724.323755	N
hsa-mir-107	1350	244.398168	Y
hsa-mir-10a	633543	114693.887674	N
hsa-mir-10b	167772	30372.718068	N
hsa-mir-1-1	44	7.965570	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.181036	N
hsa-mir-1180	111	20.094960	N
hsa-mir-1181	2	0.362071	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	34	6.155213	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
