miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35966	13018.193111	N
hsa-let-7a-2	35697	12920.826322	N
hsa-let-7a-3	36011	13034.481236	N
hsa-let-7b	43607	15783.916671	N
hsa-let-7c	549	198.715120	N
hsa-let-7d	1376	498.054655	N
hsa-let-7e	1247	451.362031	N
hsa-let-7f-1	22177	8027.149770	N
hsa-let-7f-2	22321	8079.271769	N
hsa-let-7g	2632	952.674311	N
hsa-let-7i	691	250.113202	N
hsa-mir-100	1760	637.046652	Y
hsa-mir-101-1	5950	2153.652033	N
hsa-mir-101-2	5959	2156.909658	N
hsa-mir-103a-1	31723	11482.403939	Y
hsa-mir-103a-2	31912	11550.814062	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.723917	N
hsa-mir-105-2	5	1.809792	N
hsa-mir-106a	128	46.330666	Y
hsa-mir-106b	1703	616.415027	N
hsa-mir-107	443	160.347538	Y
hsa-mir-10a	275838	99841.860408	N
hsa-mir-10b	63743	23072.309500	N
hsa-mir-1-1	19	6.877208	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	28	10.134833	N
hsa-mir-1181	3	1.085875	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.361958	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.361958	N
hsa-mir-1-2	16	5.791333	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	1	0.361958	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.809792	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.723917	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.361958	N
hsa-mir-1229	1	0.361958	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.361958	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.361958	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.361958	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.809792	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1670	604.470402	N
hsa-mir-1248	8	2.895667	N
hsa-mir-1249	3	1.085875	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.361958	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.361958	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.361958	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
