miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	3303	2785.411964	N
hsa-let-7a-2	3194	2693.492525	N
hsa-let-7a-3	3237	2729.754322	N
hsa-let-7b	10430	8795.593939	N
hsa-let-7c	504	425.021989	N
hsa-let-7d	725	611.390758	N
hsa-let-7e	235	198.174935	N
hsa-let-7f-1	851	717.646255	N
hsa-let-7f-2	873	736.198802	N
hsa-let-7g	610	514.411534	N
hsa-let-7i	287	242.026410	N
hsa-mir-100	1720	1450.471867	N
hsa-mir-101-1	3052	2573.744267	N
hsa-mir-101-2	3039	2562.781398	N
hsa-mir-103a-1	3202	2700.238906	Y
hsa-mir-103a-2	3189	2689.276037	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	686	578.502152	Y
hsa-mir-106b	922	777.520385	N
hsa-mir-107	53	44.694773	Y
hsa-mir-10a	96093	81034.996007	N
hsa-mir-10b	60571	51079.378760	N
hsa-mir-1-1	24	20.239142	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	4	3.373190	N
hsa-mir-1181	2	1.686595	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	1.686595	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	1.686595	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	9.276274	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	1.686595	N
hsa-mir-1226	1	0.843298	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.843298	N
hsa-mir-1229	1	0.843298	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.843298	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	1.686595	N
hsa-mir-1247	140	118.061664	N
hsa-mir-1248	5	4.216488	N
hsa-mir-1249	1	0.843298	N
hsa-mir-1250	0	0.000000	N
