miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13919	4183.625041	N
hsa-let-7a-2	14245	4281.610655	N
hsa-let-7a-3	14340	4310.164745	N
hsa-let-7b	25833	7764.608498	N
hsa-let-7c	2144	644.420726	N
hsa-let-7d	1954	587.312546	N
hsa-let-7e	1929	579.798312	N
hsa-let-7f-1	6473	1945.585523	N
hsa-let-7f-2	6578	1977.145306	N
hsa-let-7g	1583	475.801310	N
hsa-let-7i	2691	808.832171	N
hsa-mir-100	9243	2778.162674	N
hsa-mir-101-1	7279	2187.844434	N
hsa-mir-101-2	7378	2217.600801	N
hsa-mir-103a-1	61240	18406.868130	Y
hsa-mir-103a-2	61613	18518.980505	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.601139	N
hsa-mir-105-2	2	0.601139	N
hsa-mir-106a	194	58.310457	Y
hsa-mir-106b	3175	954.307745	N
hsa-mir-107	643	193.266104	Y
hsa-mir-10a	144527	43440.389129	N
hsa-mir-10b	145788	43819.407103	N
hsa-mir-1-1	44	13.225052	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	55	16.531315	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	1	0.300569	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.601139	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	65	19.537009	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.300569	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.502847	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.300569	N
hsa-mir-1229	4	1.202277	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.300569	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.300569	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.300569	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.202277	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	6	1.803416	N
hsa-mir-1247	1282	385.329930	N
hsa-mir-1248	16	4.809110	N
hsa-mir-1249	16	4.809110	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.901708	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.300569	N
hsa-mir-125a	2177	654.339515	N
hsa-mir-125b-1	1763	529.903797	N
hsa-mir-125b-2	1765	530.504935	N
hsa-mir-126	4992	1500.442288	N
hsa-mir-1260a	2	0.601139	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	2.404555	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.803416	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	175	52.599639	N
hsa-mir-1269b	83	24.947258	N
hsa-mir-127	4557	1369.694613	N
hsa-mir-1270	2	0.601139	N
hsa-mir-1271	10	3.005694	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	9	2.705124	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.300569	N
hsa-mir-1278	0	0.000000	N
