miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37696	8046.152677	N
hsa-let-7a-2	74534	15909.166586	Y
hsa-let-7a-3	37321	7966.109509	N
hsa-let-7b	41782	8918.303034	N
hsa-let-7c	4507	962.012153	Y
hsa-let-7d	2186	466.598306	N
hsa-let-7e	3043	649.523626	N
hsa-let-7f-1	25594	5462.999565	N
hsa-let-7f-2	25895	5527.247548	N
hsa-let-7g	3752	800.858575	N
hsa-let-7i	1767	377.163407	N
hsa-mir-100	7568	1615.377851	N
hsa-mir-101-1	19016	4058.935678	N
hsa-mir-101-2	18995	4054.453260	N
hsa-mir-103a-1	30202	6446.570012	Y
hsa-mir-103a-2	30828	6580.188740	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.426897	N
hsa-mir-105-2	3	0.640345	N
hsa-mir-106a	94	20.064154	Y
hsa-mir-106b	2216	473.001760	N
hsa-mir-107	334	71.291781	Y
hsa-mir-10a	451432	96357.459554	N
hsa-mir-10b	183165	39096.284887	N
hsa-mir-1-1	89	18.996912	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	26	5.549660	N
hsa-mir-1181	2	0.426897	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.853794	N
hsa-mir-1185-2	1	0.213448	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.213448	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	87	18.570015	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.426897	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.213448	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.853794	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1091	232.872256	N
hsa-mir-1248	30	6.403453	N
hsa-mir-1249	8	1.707588	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.426897	N
hsa-mir-125a	1477	315.263357	N
hsa-mir-125b-1	593	126.574929	N
hsa-mir-125b-2	519	110.779744	N
hsa-mir-126	9057	1933.202589	N
hsa-mir-1260a	1	0.213448	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.067242	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	35	7.470696	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	23	4.909314	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4774	1019.002888	N
hsa-mir-1270	3	0.640345	N
hsa-mir-1271	12	2.561381	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
