miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	49103	8645.641727	N
hsa-let-7a-2	48617	8560.070950	N
hsa-let-7a-3	49107	8646.346013	N
hsa-let-7b	61432	10816.427969	N
hsa-let-7c	3836	675.410498	N
hsa-let-7d	2388	420.458881	N
hsa-let-7e	5819	1024.560398	N
hsa-let-7f-1	30187	5315.072130	N
hsa-let-7f-2	30575	5383.387895	N
hsa-let-7g	4000	704.286233	N
hsa-let-7i	3447	606.918661	N
hsa-mir-100	11175	1967.599664	N
hsa-mir-101-1	15476	2724.883436	N
hsa-mir-101-2	15916	2802.354922	N
hsa-mir-103a-1	52378	9222.276081	Y
hsa-mir-103a-2	52550	9252.560389	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.352143	N
hsa-mir-105-2	1	0.176072	N
hsa-mir-106a	100	17.607156	Y
hsa-mir-106b	3434	604.629731	N
hsa-mir-107	645	113.566155	Y
hsa-mir-10a	218594	38488.186215	N
hsa-mir-10b	241162	42461.769142	N
hsa-mir-1-1	125	22.008945	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	43	7.571077	N
hsa-mir-1181	1	0.176072	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.176072	N
hsa-mir-1185-2	2	0.352143	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	128	22.537159	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
