miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	3310	3043.068148	N
hsa-let-7a-2	3235	2974.116453	N
hsa-let-7a-3	3234	2973.197097	N
hsa-let-7b	8882	8165.719424	N
hsa-let-7c	226	207.774442	N
hsa-let-7d	598	549.774850	N
hsa-let-7e	164	150.774374	N
hsa-let-7f-1	888	816.388071	N
hsa-let-7f-2	887	815.468715	N
hsa-let-7g	549	504.726409	N
hsa-let-7i	229	210.532509	N
hsa-mir-100	599	550.694206	N
hsa-mir-101-1	3663	3367.600794	N
hsa-mir-101-2	3701	3402.536319	N
hsa-mir-103a-1	3271	3007.213267	Y
hsa-mir-103a-2	3033	2788.406554	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	568	522.194172	Y
hsa-mir-106b	1094	1005.775394	N
hsa-mir-107	75	68.951695	Y
hsa-mir-10a	78649	72306.425011	N
hsa-mir-10b	16994	15623.534776	N
hsa-mir-1-1	4	3.677424	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1	0.919356	N
hsa-mir-1181	3	2.758068	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	11.951627	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	1.838712	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.919356	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	65	59.758136	N
hsa-mir-1248	3	2.758068	N
hsa-mir-1249	4	3.677424	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.919356	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	1.838712	N
hsa-mir-125a	166	152.613085	N
hsa-mir-125b-1	57	52.403288	N
hsa-mir-125b-2	86	79.064610	N
hsa-mir-126	3510	3226.939335	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	6.435492	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	1.838712	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	745	684.920172	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	5	4.596780	N
hsa-mir-1272	0	0.000000	N
