miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94924	8051.137667	N
hsa-let-7a-2	188941	16025.346614	Y
hsa-let-7a-3	94799	8040.535583	N
hsa-let-7b	59375	5035.989834	N
hsa-let-7c	13156	1115.848122	Y
hsa-let-7d	7130	604.742863	N
hsa-let-7e	8738	741.128070	N
hsa-let-7f-1	89345	7577.945460	N
hsa-let-7f-2	89899	7624.933896	N
hsa-let-7g	7419	629.254881	N
hsa-let-7i	2759	234.009195	N
hsa-mir-100	36380	3085.630487	Y
hsa-mir-101-1	25743	2183.435559	N
hsa-mir-101-2	25928	2199.126643	N
hsa-mir-103a-1	158419	13436.572185	Y
hsa-mir-103a-2	159117	13495.774221	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	102	8.651300	N
hsa-mir-105-2	93	7.887950	N
hsa-mir-106a	291	24.681651	Y
hsa-mir-106b	7808	662.248566	N
hsa-mir-107	1175	99.659588	Y
hsa-mir-10a	662847	56220.475847	N
hsa-mir-10b	485118	41146.093747	N
hsa-mir-1-1	949	80.491021	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	67	5.682717	N
hsa-mir-1181	4	0.339267	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.169633	N
hsa-mir-1185-2	3	0.254450	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.084817	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	893	75.741287	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.254450	N
hsa-mir-1225	2	0.169633	N
hsa-mir-1226	9	0.763350	N
hsa-mir-1227	2	0.169633	N
hsa-mir-1228	13	1.102617	N
hsa-mir-1229	13	1.102617	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.084817	N
hsa-mir-1236	2	0.169633	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.084817	N
hsa-mir-1243	1	0.084817	N
hsa-mir-124-3	1	0.084817	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.187433	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	500	42.408335	N
hsa-mir-1248	15	1.272250	N
hsa-mir-1249	8	0.678533	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.339267	N
hsa-mir-1254-2	4	0.339267	N
hsa-mir-1255a	3	0.254450	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.084817	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.084817	N
hsa-mir-125a	2830	240.031179	N
hsa-mir-125b-1	1840	156.062674	N
hsa-mir-125b-2	1865	158.183091	N
hsa-mir-126	16055	1361.731651	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.678533	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	56	4.749734	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
