miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38775	7231.415170	N
hsa-let-7a-2	38404	7162.224840	N
hsa-let-7a-3	38606	7199.897203	N
hsa-let-7b	32749	6107.585181	N
hsa-let-7c	3305	616.372073	N
hsa-let-7d	2923	545.130278	N
hsa-let-7e	2342	436.775611	N
hsa-let-7f-1	36124	6737.012033	N
hsa-let-7f-2	36557	6817.765167	N
hsa-let-7g	1701	317.231134	N
hsa-let-7i	2069	385.861973	N
hsa-mir-100	18365	3425.014561	Y
hsa-mir-101-1	25185	4696.923045	N
hsa-mir-101-2	25887	4827.843830	N
hsa-mir-103a-1	156259	29141.810523	Y
hsa-mir-103a-2	157896	29447.105858	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	29	5.408409	N
hsa-mir-105-2	38	7.086880	N
hsa-mir-106a	217	40.469815	Y
hsa-mir-106b	2568	478.923898	N
hsa-mir-107	1400	261.095583	Y
hsa-mir-10a	237854	44359.020601	N
hsa-mir-10b	183993	34314.114025	N
hsa-mir-1-1	103	19.209175	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	31	5.781402	N
hsa-mir-1181	2	0.372994	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.186497	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	83	15.479238	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.186497	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.372994	N
hsa-mir-1229	1	0.186497	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1294	241.326918	N
hsa-mir-1248	1	0.186497	N
hsa-mir-1249	1	0.186497	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.372994	N
hsa-mir-1254-2	2	0.372994	N
hsa-mir-1255a	3	0.559491	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	947	176.612512	N
hsa-mir-125b-1	639	119.171484	N
hsa-mir-125b-2	596	111.152120	N
hsa-mir-126	5807	1082.987180	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.186497	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.424459	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	44	8.205861	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3704	690.784314	N
hsa-mir-1269b	2	0.372994	N
hsa-mir-127	2823	526.480594	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	2	0.372994	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.372994	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	251	46.810708	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	166	30.958476	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	31	5.781402	N
hsa-mir-1288	3	0.559491	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.372994	N
hsa-mir-129-1	1	0.186497	N
hsa-mir-1292	9	1.678472	N
hsa-mir-129-2	7	1.305478	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.372994	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	8	1.491975	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.186497	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	14	2.610956	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.372994	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.932484	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	11	2.051465	N
hsa-mir-1307	3311	617.491054	N
hsa-mir-130a	81	15.106244	N
hsa-mir-130b	137	25.550068	N
hsa-mir-132	306	57.068035	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	52	9.697836	Y
hsa-mir-133a-2	36	6.713886	Y
hsa-mir-133b	34	6.340893	Y
hsa-mir-134	1046	195.075700	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	1	0.186497	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	253	47.183702	N
hsa-mir-136	57	10.630320	N
hsa-mir-137	3	0.559491	N
hsa-mir-138-1	1	0.186497	N
hsa-mir-138-2	1	0.186497	N
hsa-mir-139	87	16.225226	N
hsa-mir-140	2435	454.119818	N
hsa-mir-141	8289	1545.872349	N
hsa-mir-142	1041	194.143216	N
hsa-mir-143	1012757	188875.985379	N
hsa-mir-144	156	29.093508	N
hsa-mir-145	6913	1289.252690	N
hsa-mir-1468	31	5.781402	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	333	62.103449	N
hsa-mir-146b	1492	278.253293	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.932484	N
hsa-mir-148a	469311	87525.020883	N
hsa-mir-148b	433	80.753134	N
hsa-mir-149	29	5.408409	N
hsa-mir-150	622	116.001038	N
hsa-mir-151a	24651	4597.333729	N
hsa-mir-151b	3	0.559491	N
hsa-mir-152	1013	188.921304	N
hsa-mir-153-1	2	0.372994	N
hsa-mir-153-2	55	10.257326	N
hsa-mir-1537	1	0.186497	N
hsa-mir-1538	1	0.186497	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	8	1.491975	N
hsa-mir-155	689	128.496326	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	855	159.454803	N
hsa-mir-15b	1072	199.924618	N
hsa-mir-16-1	1700	317.044637	N
hsa-mir-16-2	1778	331.591391	N
hsa-mir-17	25818	4814.975547	Y
hsa-mir-181a-1	1671	311.636228	N
hsa-mir-181a-2	4675	871.872751	N
hsa-mir-181b-1	507	94.553900	N
hsa-mir-181b-2	476	88.772498	N
hsa-mir-181c	364	67.884852	N
hsa-mir-181d	126	23.498602	N
hsa-mir-182	289459	53983.190293	N
hsa-mir-1825	0	0.000000	N
