miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10166	3839.200709	N
hsa-let-7a-2	10170	3840.711313	N
hsa-let-7a-3	10071	3803.323858	N
hsa-let-7b	31022	11715.491284	N
hsa-let-7c	1107	418.059727	N
hsa-let-7d	1965	742.084339	N
hsa-let-7e	1959	739.818433	N
hsa-let-7f-1	3075	1161.277020	N
hsa-let-7f-2	3220	1216.036424	N
hsa-let-7g	1783	673.351846	N
hsa-let-7i	588	222.058825	N
hsa-mir-100	5366	2026.475605	Y
hsa-mir-101-1	8901	3361.472114	N
hsa-mir-101-2	9035	3412.077357	N
hsa-mir-103a-1	15745	5946.115991	Y
hsa-mir-103a-2	15621	5899.287259	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.755302	N
hsa-mir-105-2	2	0.755302	N
hsa-mir-106a	654	246.983795	Y
hsa-mir-106b	1877	708.851046	N
hsa-mir-107	182	68.732494	Y
hsa-mir-10a	224040	84608.944212	N
hsa-mir-10b	113491	42859.996820	N
hsa-mir-1-1	72	27.190877	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	2	0.755302	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	1	0.377651	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.377651	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	75	28.323830	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.377651	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.377651	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
