miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	57655	3803.128110	N
hsa-let-7a-2	56872	3751.478655	N
hsa-let-7a-3	57608	3800.027823	N
hsa-let-7b	164091	10824.023843	N
hsa-let-7c	4546	299.870269	N
hsa-let-7d	7617	502.444312	N
hsa-let-7e	8811	581.204783	N
hsa-let-7f-1	16274	1073.490710	N
hsa-let-7f-2	16206	1069.005189	N
hsa-let-7g	9062	597.761633	N
hsa-let-7i	7460	492.088036	N
hsa-mir-100	134205	8852.637377	Y
hsa-mir-101-1	58680	3870.740742	N
hsa-mir-101-2	59040	3894.487618	N
hsa-mir-103a-1	101785	6714.099292	Y
hsa-mir-103a-2	101554	6698.861713	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	626	41.293178	N
hsa-mir-105-2	587	38.720600	N
hsa-mir-106a	1158	76.385784	Y
hsa-mir-106b	5089	335.688474	N
hsa-mir-107	1245	82.124612	Y
hsa-mir-10a	396324	26142.935479	N
hsa-mir-10b	161715	10667.294464	N
hsa-mir-1-1	37	2.440651	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.197891	N
hsa-mir-1180	105	6.926172	N
hsa-mir-1181	1	0.065964	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	39	2.572578	N
hsa-mir-1185-2	13	0.857526	N
hsa-mir-1193	1	0.065964	N
hsa-mir-1197	14	0.923490	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	59	3.891849	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	1	0.065964	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.131927	N
hsa-mir-1224	3	0.197891	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.725599	N
hsa-mir-1227	3	0.197891	N
hsa-mir-1228	16	1.055417	N
hsa-mir-1229	1	0.065964	N
hsa-mir-1231	2	0.131927	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.065964	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.131927	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.065964	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	1	0.065964	N
hsa-mir-1244-2	1	0.065964	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	41	2.704505	N
hsa-mir-1245b	1	0.065964	N
hsa-mir-1246	4	0.263854	N
hsa-mir-1247	307	20.250808	N
hsa-mir-1248	56	3.693958	N
hsa-mir-1249	10	0.659635	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1254	82.718284	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.395781	N
hsa-mir-1254-2	7	0.461745	N
hsa-mir-1255a	7	0.461745	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.263854	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.329818	N
hsa-mir-125a	7244	477.839910	N
hsa-mir-125b-1	3664	241.690424	N
hsa-mir-125b-2	3549	234.104616	N
hsa-mir-126	67165	4430.441410	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.131927	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	50	3.298177	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	94	6.200573	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10725	707.459006	N
hsa-mir-1269b	2767	182.521125	N
hsa-mir-127	41791	2756.682453	N
hsa-mir-1270	40	2.638542	N
hsa-mir-1271	126	8.311407	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.197891	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.263854	N
hsa-mir-1275	4	0.263854	N
hsa-mir-1276	2	0.131927	N
hsa-mir-1277	85	5.606901	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1051	69.327684	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	785	51.781382	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.395781	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.065964	N
hsa-mir-1287	700	46.174481	N
hsa-mir-1288	6	0.395781	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	0.923490	N
hsa-mir-129-1	18	1.187344	N
hsa-mir-1292	2	0.131927	N
hsa-mir-129-2	17	1.121380	N
hsa-mir-1293	68	4.485521	N
hsa-mir-1294	1	0.065964	N
hsa-mir-1295a	19	1.253307	N
hsa-mir-1295b	11	0.725599	N
hsa-mir-1296	74	4.881302	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.131927	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	146	9.630677	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.065964	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.197891	N
hsa-mir-1305	9	0.593672	N
hsa-mir-1306	89	5.870755	N
hsa-mir-1307	15568	1026.920448	N
hsa-mir-130a	1806	119.130160	N
hsa-mir-130b	983	64.842163	N
hsa-mir-132	525	34.630860	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	0.923490	Y
hsa-mir-133a-2	40	2.638542	Y
hsa-mir-133b	4	0.263854	Y
hsa-mir-134	30746	2028.115114	N
hsa-mir-1343	1	0.065964	N
