miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	74907	5557.930708	N
hsa-let-7a-2	74824	5551.772295	N
hsa-let-7a-3	74940	5560.379234	N
hsa-let-7b	103144	7653.052518	N
hsa-let-7c	19109	1417.844766	N
hsa-let-7d	2615	194.027111	N
hsa-let-7e	11100	823.595003	N
hsa-let-7f-1	45070	3344.092501	N
hsa-let-7f-2	45266	3358.635260	N
hsa-let-7g	3536	262.363237	N
hsa-let-7i	2969	220.293114	N
hsa-mir-100	135890	10082.731973	Y
hsa-mir-101-1	38408	2849.787104	N
hsa-mir-101-2	38466	2854.090574	N
hsa-mir-103a-1	67532	5010.722317	Y
hsa-mir-103a-2	67242	4989.204970	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	93	6.900391	N
hsa-mir-105-2	78	5.787424	N
hsa-mir-106a	114	8.458543	Y
hsa-mir-106b	2150	159.525158	N
hsa-mir-107	692	51.344842	Y
hsa-mir-10a	472789	35079.879070	N
hsa-mir-10b	445209	33033.505180	N
hsa-mir-1-1	1557	115.525894	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	73	5.416436	N
hsa-mir-1181	2	0.148395	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.074198	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.222593	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1570	116.490464	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.445186	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.296791	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.074198	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.074198	N
hsa-mir-124-2	1	0.074198	N
hsa-mir-1243	1	0.074198	N
hsa-mir-124-3	1	0.074198	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	1.187164	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.222593	N
hsa-mir-1247	733	54.386949	N
hsa-mir-1248	28	2.077537	N
hsa-mir-1249	6	0.445186	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.370989	N
hsa-mir-1254-2	1	0.074198	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	25	1.854944	N
hsa-mir-125a	3236	240.103912	N
hsa-mir-125b-1	2665	197.736998	N
hsa-mir-125b-2	2789	206.937519	N
hsa-mir-126	11211	831.830953	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	0.890373	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	21	1.558153	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	236	17.510669	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10401	771.730777	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	16	1.187164	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.445186	N
