miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48389	5769.185143	N
hsa-let-7a-2	95426	11377.177900	Y
hsa-let-7a-3	48085	5732.940701	N
hsa-let-7b	66589	7939.082632	N
hsa-let-7c	8961	1068.376451	Y
hsa-let-7d	2815	335.618760	N
hsa-let-7e	6502	775.201839	N
hsa-let-7f-1	38440	4583.014257	N
hsa-let-7f-2	38478	4587.544812	N
hsa-let-7g	3150	375.559181	N
hsa-let-7i	3432	409.180669	N
hsa-mir-100	32695	3898.065846	Y
hsa-mir-101-1	20486	2442.446152	N
hsa-mir-101-2	20991	2502.654846	N
hsa-mir-103a-1	100408	11971.157532	Y
hsa-mir-103a-2	100869	12026.120320	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	103	12.280189	Y
hsa-mir-106b	3597	428.852817	N
hsa-mir-107	906	108.017974	Y
hsa-mir-10a	336745	40148.468678	N
hsa-mir-10b	417666	49796.285970	N
hsa-mir-1-1	398	47.451604	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.238450	N
hsa-mir-1180	95	11.326388	N
hsa-mir-1181	6	0.715351	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.238450	N
hsa-mir-1185-2	1	0.119225	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	455	54.247437	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	13	1.549927	N
hsa-mir-1225	1	0.119225	N
hsa-mir-1226	10	1.192251	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.357675	N
hsa-mir-1229	5	0.596126	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	1	0.119225	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.119225	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.192251	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	4	0.476901	N
hsa-mir-1247	966	115.171482	N
hsa-mir-1248	14	1.669152	N
hsa-mir-1249	14	1.669152	N
hsa-mir-1250	2	0.238450	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.119225	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	8	0.953801	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.119225	N
hsa-mir-1257	1	0.119225	N
hsa-mir-1258	7	0.834576	N
hsa-mir-125a	2108	251.326588	N
hsa-mir-125b-1	1097	130.789975	N
hsa-mir-125b-2	1140	135.916656	N
hsa-mir-126	5878	700.805354	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.357675	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	211	25.156504	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.357675	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5158	614.963255	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	7	0.834576	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
