miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36899	4529.606074	N
hsa-let-7a-2	36986	4540.285923	N
hsa-let-7a-3	36936	4534.148079	N
hsa-let-7b	19345	2374.731822	N
hsa-let-7c	514	63.097036	N
hsa-let-7d	4230	519.261598	N
hsa-let-7e	1953	239.744184	N
hsa-let-7f-1	32123	3943.319221	N
hsa-let-7f-2	32889	4037.350990	N
hsa-let-7g	4960	608.874119	N
hsa-let-7i	1410	173.087199	N
hsa-mir-100	3863	474.209823	N
hsa-mir-101-1	20463	2511.974013	N
hsa-mir-101-2	21575	2648.479662	N
hsa-mir-103a-1	300555	36895.193737	Y
hsa-mir-103a-2	300007	36827.922967	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.122757	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	262	32.162302	Y
hsa-mir-106b	3491	428.544264	N
hsa-mir-107	1359	166.826598	Y
hsa-mir-10a	228899	28098.926823	N
hsa-mir-10b	140724	17274.839026	N
hsa-mir-1-1	106	13.012229	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.122757	N
hsa-mir-1180	69	8.470225	N
hsa-mir-1181	1	0.122757	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.122757	N
hsa-mir-1-2	112	13.748770	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.122757	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.491028	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.491028	N
hsa-mir-1229	1	0.122757	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.122757	N
hsa-mir-1238	1	0.122757	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.736541	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	196	24.060348	N
hsa-mir-1248	14	1.718596	N
hsa-mir-1249	4	0.491028	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.245514	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.350326	N
hsa-mir-1254-2	9	1.104812	N
hsa-mir-1255a	5	0.613784	N
