miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56678	7246.752974	N
hsa-let-7a-2	56658	7244.195808	N
hsa-let-7a-3	57181	7311.065702	N
hsa-let-7b	60281	7707.426445	N
hsa-let-7c	3599	460.162037	N
hsa-let-7d	3805	486.500848	N
hsa-let-7e	7455	953.183659	N
hsa-let-7f-1	52830	6754.754219	N
hsa-let-7f-2	53410	6828.912036	N
hsa-let-7g	4818	616.021310	N
hsa-let-7i	3707	473.970734	N
hsa-mir-100	21651	2768.260148	Y
hsa-mir-101-1	15333	1960.451381	N
hsa-mir-101-2	15731	2011.338986	N
hsa-mir-103a-1	103138	13187.049795	Y
hsa-mir-103a-2	104020	13299.820819	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	199	25.443803	N
hsa-mir-105-2	225	28.768118	N
hsa-mir-106a	248	31.708859	Y
hsa-mir-106b	3351	428.453178	N
hsa-mir-107	858	109.702425	Y
hsa-mir-10a	485515	62077.124641	N
hsa-mir-10b	219330	28043.161895	N
hsa-mir-1-1	284	36.311758	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	121	15.470855	N
hsa-mir-1181	7	0.895008	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.255717	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.127858	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	294	37.590341	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.511433	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.662158	N
hsa-mir-1227	2	0.255717	N
hsa-mir-1228	11	1.406441	N
hsa-mir-1229	5	0.639292	N
hsa-mir-1231	1	0.127858	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.127858	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.662158	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	9	1.150725	N
hsa-mir-1247	9121	1166.195594	N
hsa-mir-1248	41	5.242190	N
hsa-mir-1249	8	1.022866	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.127858	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	4	0.511433	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.127858	N
hsa-mir-1257	1	0.127858	N
hsa-mir-1258	1	0.127858	N
hsa-mir-125a	2584	330.385858	N
hsa-mir-125b-1	742	94.870862	N
hsa-mir-125b-2	757	96.788736	N
hsa-mir-126	13580	1736.315773	N
hsa-mir-1260a	1	0.127858	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.255717	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	165	21.096620	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	18	2.301449	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6743	862.148546	N
hsa-mir-1270	1	0.127858	N
hsa-mir-1271	5	0.639292	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
