relcount_1,relcount_2,relcount_3,relcount_4,relcount_5,relcount_6,relcount_7,relcount_8
21162.870195,18897.211565,15088.436988,17263.350517,20885.381416,11021.621114,21347.030899,17560.403909
21141.251991,19303.195772,15118.332268,17398.631902,21110.110853,10975.341244,21513.796486,17865.04296
21058.83259,19314.022018,15348.815231,17042.356498,21295.414074,10842.111316,21767.570205,17403.233443
108254.505707,93647.023797,109827.542811,124570.404151,77115.052273,112572.277236,95568.075059,107634.603892
3294.073775,5105.928046,1738.748044,2681.876012,3522.075396,4130.127775,2868.160928,1687.157039
5672.076172,6188.552599,5220.101586,7515.862001,10291.556876,7766.603605,9893.031788,6040.390869
1574.07545,1342.454445,798.493278,985.178943,2186.840843,984.499048,1683.193033,787.792706
341.837845,267.949577,230.482963,257.1379,820.065316,140.24203,526.192037,401.657857
352.646946,280.129103,258.449515,246.811077,829.264767,169.692856,526.192037,420.091431
195.91497,297.721752,251.698968,129.085291,458.658326,103.779102,496.153515,302.698675
441.822036,619.802556,487.968114,687.766432,693.901421,357.617176,513.762304,821.749288
2017.248624,1818.809248,1900.761172,1908.396947,2046.220669,1356.140427,1957.682973,2418.678837
97.281916,125.855104,95.472022,147.673573,84.109263,147.254131,43.504066,96.048618
97.281916,121.795262,104.151297,142.510162,78.852434,151.461392,47.64731,109.631251
8679.708749,12271.549303,11583.938713,10740.928918,6618.347647,5914.006392,5282.636595,11898.386383
8533.785874,12485.367653,11584.903077,10590.157298,7149.287371,6378.207511,5496.013681,11595.687708
8.106826,6.766403,5.786183,2.065365,5.256829,4.207261,2.071622,1.940376
2.702275,8.119684,13.501094,12.392188,10.513658,14.024203,4.143244,3.880752
905.262276,889.105414,547.758674,1153.506163,1082.906764,875.110265,645.310313,1095.342321
81.068264,54.131228,77.149109,92.94141,44.683046,67.316174,49.718933,114.482191
7270.472101,6683.853331,18111.717696,10353.673045,12486.282962,5557.791637,10421.295448,15574.428947
6007.158328,12456.948758,11049.681133,10410.470573,16995.327993,6573.143932,5889.621898,17395.471938
0,0,0,1.032682,3.942622,0,1.035811,0
166.18994,127.208385,100.293842,211.699878,164.275905,190.72916,152.264231,175.604039
0,1.353281,0,1.032682,2.628414,2.804841,1.035811,0
121.602395,21.652491,17.35855,55.764846,17.084694,23.841145,35.217577,23.284513
14.862515,12.179526,7.714911,26.849741,23.65573,15.426623,25.895277,7.761504
2.702275,12.179526,8.679275,8.261459,11.827865,5.609681,8.286489,4.85094
1.351138,4.059842,3.857455,5.163412,5.256829,7.012101,3.107433,1.940376
108.091018,891.811975,214.088777,439.922673,595.335879,182.314639,177.123698,188.216484
12.16024,6.766403,10.608002,10.326823,21.027316,4.207261,12.429733,2.910564
9.457964,18.94593,9.643639,6.196094,18.398901,12.621783,20.716222,12.612445
5555.878327,4641.752769,3752.339788,5496.968045,3165.925235,6455.340627,4593.822215,3117.214241
868.781558,991.954746,550.651765,752.825419,906.802994,1133.1556,1175.645595,649.055813
963.361198,1060.972062,590.190684,727.008361,984.341221,1075.656368,1234.686828,618.979983
78.365988,220.584753,180.336042,160.065761,304.896079,136.034769,279.668996,203.739493
40.534132,74.430438,48.218193,80.549222,61.76774,57.499232,44.539877,101.869746
2159.118085,3143.671045,2108.099403,2347.286937,2239.409132,2337.834635,2223.886425,1822.013179
8.106826,5.413123,9.643639,7.228776,11.827865,12.621783,3.107433,5.821128
78.365988,75.783719,65.576743,92.94141,76.22402,79.937957,69.399344,123.213884
51.343234,27.065614,41.467646,34.078517,40.740424,28.048406,22.787844,54.330531
39.182994,32.478737,46.289465,28.915105,40.740424,47.68229,48.683122,40.747899
81.068264,36.538579,26.037824,43.372658,70.967191,79.937957,93.222999,36.867146
1.351138,1.353281,0.964364,3.098047,5.256829,2.804841,3.107433,3.880752
55.396647,43.304982,20.251641,45.438023,55.196704,75.730696,94.25881,34.92677
20.267066,41.951701,46.289465,33.045835,145.877003,30.853247,124.297332,45.598839
14.862515,18.94593,19.287277,11.359506,30.226766,14.024203,20.716222,21.344137
94.579641,109.615736,61.719287,105.333598,253.641997,147.254131,165.729776,92.167866
11815.69941,14116.070885,8636.84275,14976.991838,7317.505898,8415.924202,4942.890555,15853.843109
5.404551,16.239368,18.322913,21.686329,14.45628,14.024203,20.716222,19.403761
48.640958,63.604192,72.32729,55.764846,60.453533,44.87745,43.504066,94.108242
533.699402,378.918593,476.395748,584.498199,233.928888,267.862277,206.126408,323.072624
248.609341,265.243015,113.794936,194.144278,883.147263,496.456785,814.147522,157.170466
302.654851,216.524911,117.652391,154.90235,967.256527,479.627742,799.646167,159.110842
27.022755,21.652491,3.857455,22.719011,170.846941,25.243565,163.658153,13.582633
266.174132,319.374243,216.981869,195.17696,293.068214,319.751828,193.696675,231.874947
2.702275,14.886088,6.750547,9.294141,17.084694,2.804841,12.429733,2.910564
0,0,0,0,0,0,1.035811,0
0,2.706561,0.964364,5.163412,0,4.207261,2.071622,0.970188
882.292935,950.003045,675.054704,983.113579,1345.748211,1483.760674,2037.440428,606.367538
2259.102277,3640.325058,2374.263829,3838.480222,1980.510307,2865.144667,2416.547289,3419.912916
60.801198,58.19107,93.543295,96.039457,68.338776,49.08471,72.506777,85.376549
33.778443,24.359052,40.503282,37.176564,21.027316,39.267768,11.393922,50.449779
13512.728393,11523.185081,9529.843686,8529.956049,72674.346018,14888.093872,46940.887297,10253.917619
4.053413,0,0,1.032682,1.314207,5.609681,2.071622,0.970188
24628.538461,24336.046661,17781.905255,10893.765903,65789.214301,54130.618622,87244.297083,18485.963319
25.671617,39.24514,34.717099,28.915105,15.770487,28.048406,25.895277,32.016206
55.396647,74.430438,85.828384,36.143882,165.590112,21.036304,27.9669,204.709681
672.866587,874.219326,1006.795872,925.283368,637.39051,434.750292,457.828505,1276.767489
5618.030663,6390.191422,8480.615804,6113.479396,4280.372972,5360.050375,2512.877721,13801.895359
140.518323,181.339613,172.621131,139.412115,166.904319,147.254131,245.48723,195.977988
122.953533,228.704437,96.436386,141.477479,289.125592,208.960624,618.379225,211.500997
6540.857729,8448.531352,4721.525469,8200.530386,2943.824212,3552.330612,3816.963893,13508.898565
670.164312,834.974186,906.50203,953.165791,1389.11705,608.650409,844.186044,978.919754
10.809102,17.592649,22.180369,14.457553,39.426217,16.829044,22.787844,19.403761
0,0,0,1.032682,3.942622,0,0,1.940376
4.053413,10.826246,15.429822,4.130729,1.314207,4.207261,4.143244,5.821128
183.754731,240.883963,206.373867,177.621361,164.275905,120.608146,98.402054,366.731087
13.511377,17.592649,19.287277,13.42487,14.45628,5.609681,4.143244,26.195078
1179.543234,1060.972062,1787.930601,1090.512541,1009.311158,727.856134,1234.686828,1219.526393
12.16024,17.592649,17.35855,13.42487,36.797803,12.621783,31.074333,56.270908
13.511377,16.239368,30.859644,24.784376,30.226766,8.414522,22.787844,42.688275
322.921916,281.482384,407.925914,385.190509,228.672059,152.863812,110.831787,445.31632
4811.401441,4678.291348,5338.718341,6738.252206,1500.824665,4232.504456,2090.266794,5695.974108
5716.663717,6131.71481,6272.22256,7518.960048,2608.701366,5072.554214,2881.626472,6487.647566
278.334371,253.063489,325.954985,398.61538,124.849688,182.314639,96.330432,324.042812
309.410539,259.829893,314.382619,382.092462,102.508165,211.765465,80.793266,320.16206
68.908024,79.843561,101.258206,71.255081,64.396155,81.340377,68.363532,103.810123
5.404551,4.059842,5.786183,10.326823,3.942622,4.207261,6.214867,5.821128
755.285989,825.501221,1099.374803,840.603417,749.098125,647.918177,327.316307,735.40255
1279.527426,1859.407669,1764.785868,1853.664783,1996.280794,1015.352295,1209.827361,1154.523793
14.862515,20.29921,10.608002,23.751694,27.598352,22.438725,45.575688,37.837334
