Downregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-1180,<0.001,53.7,30.4817496758456,4.29442970491803,161.0331725
hsa-mir-1306,<0.001,64.3,19.4051116514629,4.11716733561643,128.755254
hsa-mir-133a-1,<0.01,41.9,73.7560714824107,3.44363794210526,396.58920075
hsa-mir-133a-2,<0.05,47.8,64.0986965012229,3.24570597235023,399.671972625
hsa-mir-149,<0.01,50.9,24.8258129889278,4.64752835064935,239.692284125
hsa-mir-1976,<0.001,68.1,23.0948834691527,4.72969863754046,156.095378625
hsa-mir-328,<0.001,26.2,62.486460549224,5.83883088235294,656.6174505
hsa-mir-486-1,<0.01,13,134.361449076197,5.20562008474576,1927.194855875
hsa-mir-486-2,<0.01,12.8,131.834028893282,5.50088877586207,1937.223317125
hsa-mir-874,<0.001,22.2,22.1868870964576,5.06841276237624,127.194163375
