Downregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-1976,<0.001,66.2,21.1640600549266,4.94474384883721,156.095378625
hsa-mir-1306,<0.001,62.3,19.0071439295498,4.03177974074074,128.755254
hsa-mir-1180,<0.001,50.8,30.1324619925338,4.48010513636364,161.0331725
hsa-mir-149,<0.001,46.9,23.6808118916558,4.88933539344262,239.692284125
hsa-mir-133a-2,<0.001,45.4,68.686049109358,3.39432883050847,399.671972625
hsa-mir-133a-1,<0.001,40.8,52.0248416776428,4.09254309433962,396.58920075
hsa-mir-328,<0.001,21.5,59.765101680914,6.04889667857143,656.6174505
hsa-mir-874,<0.001,20,21.5856041101473,5.24278634615385,127.194163375
hsa-mir-486-2,<0.001,14.6,113.523803251722,6.301302,1937.223317125
hsa-mir-486-1,<0.001,13.1,120.992403597187,5.74776217647059,1927.194855875
