Upregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-542,<0.001,81.5,20.7633766852194,171.185332377359,4.36963675
hsa-mir-203b,<0.001,73.8,28.7174983310235,214.923689916667,3.80041275
hsa-mir-19b-1,<0.001,72.3,56.9813232053321,188.280575978723,1.722692
hsa-mir-19b-2,<0.001,63.1,53.0259230504832,184.142779902439,1.37597675
hsa-mir-452,<0.001,52.3,15.074996805405,146.372686852941,5.43272
hsa-mir-577,<0.001,41.5,74.5566396770472,180.232377296296,0.630585
hsa-mir-144,<0.001,32.3,25.6830179171318,157.369506666667,1.881474125
hsa-mir-708,<0.001,24.6,28.6015325123949,141.9474648125,1.42991575
hsa-mir-98,<0.001,16.9,15.0675968107894,88.8835741818182,3.3983145
hsa-mir-1-2,<0.001,13.8,31.8523314497929,90.5820876666667,1.106878625
hsa-mir-136,<0.001,13.8,22.8938244951589,126.192254,2.010426
hsa-mir-660,<0.001,13.8,16.0543021851938,148.235090888889,4.689253625
